Date,AAAK.AT,ACAG.AT,ADMIE.AT,AEGN.AT,AEM.AT,AIA.AT,AKRIT.AT,AKTR.AT,ALMY.AT,ALPHA.AT,ANDRO.AT,ASCO.AT,ASTAK.AT,ATEK.AT,ATRUST.AT,ATTICA.AT,AVAX.AT,AVE.AT,BELA.AT,BIOKA.AT,BIOSK.AT,BIOT.AT,BLEKEDROS.AT,BOCHGR.AT,BRIQ.AT,CAIROMEZ.AT,CENER.AT,CENTR.AT,CNLCAP.AT,CPI.AT,DAIOS.AT,DIMAND.AT,DOMIK.AT,DOPPLER.AT,DROME.AT,EEE.AT,EKTER.AT,ELBE.AT,ELHA.AT,ELIN.AT,ELLAKTOR.AT,ELPE.AT,ELSTR.AT,ELTON.AT,ETE.AT,EUROB.AT,EUROC.AT,EVR.AT,EVROF.AT,EXAE.AT,EYAPS.AT,EYDAP.AT,FAIS.AT,FLEXO.AT,FOODL.AT,FOYRK.AT,FRIGO.AT,GCMEZZ.AT,GD.AT,GEBKA.AT,GEKTERNA.AT,HAIDE.AT,HTO.AT,IATR.AT,IKTIN.AT,ILYDA.AT,INLIF.AT,INLOT.AT,INTEK.AT,INTET.AT,INTRK.AT,KARE.AT,KEKR.AT,KEPEN.AT,KORDE.AT,KRI.AT,KTILA.AT,KYLO.AT,KYRI.AT,KYSA.AT,LAMDA.AT,LAMPS.AT,LANAC.AT,LAVI.AT,LEBEK.AT,LEBEP.AT,LOGISMOS.AT,MATHIO.AT,MEDIC.AT,MERKO.AT,MEVA.AT,MIG.AT,MIN.AT,MODA.AT,MOH.AT,MOTO.AT,MOYZK.AT,MPITR.AT,MYTIL.AT,NAKAS.AT,NAYP.AT,NOVAL.AT,OLTH.AT,OLYMP.AT,ONYX.AT,OPAP.AT,OPTIMA.AT,ORILINA.AT,OTOEL.AT,PAIR.AT,PAP.AT,PERF.AT,PETRO.AT,PLAKR.AT,PLAT.AT,PPA.AT,PPC.AT,PRD.AT,PREMIA.AT,PRODEA.AT,PROF.AT,PROFK.AT,PVMEZZ.AT,QUAL.AT,QUEST.AT,REALCONS.AT,REVOIL.AT,SAR.AT,SIDMA.AT,SOFTWEB.AT,SPACE.AT,SPIR.AT,SUNMEZZ.AT,TATT.AT,TELL.AT,TITC.AT,TPEIR.AT,TRASTOR.AT,TRESTATES.AT,VIDAVO.AT,VIO.AT,VOSYS.AT,XYLEK.AT,XYLEP.AT,YALCO.AT
2022-05-31,8.399999618530273,,2.0812828540802,4.788595676422119,,,0.5,1.8402589559555054,1.8760000467300415,0.9624549150466919,6.0578789710998535,1.7646313905715942,4.522158145904541,0.38999998569488525,4.3139967918396,0.8323207497596741,0.7406282424926758,0.4099999964237213,11.986100196838379,1.5771304368972778,0.628000020980835,0.3240000009536743,,,1.7321008443832397,0.14020000398159027,3.137726068496704,0.2930000126361847,7.999965667724609,0.7580000162124634,3.2799999713897705,,0.6000000238418579,0.492000013589859,0.328000009059906,18.619335174560547,0.4677221477031708,3.9668290615081787,1.5475552082061768,1.5125596523284912,0.8587842583656311,4.838494300842285,1.9993616342544556,1.6924697160720825,3.3899075984954834,0.9569023847579956,0.5386129021644592,,0.8331249952316284,3.2231087684631348,4.098340034484863,6.704432010650635,,6.030176162719727,0.4650000035762787,2.946200132369995,0.3959999978542328,,890.7000122070312,1.0837376117706299,9.707780838012695,0.5299999713897705,15.575818061828613,1.4365836381912231,0.5600000023841858,0.7640307545661926,3.7704453468322754,0.4890359938144684,3.1663973331451416,0.8579999804496765,1.3135437965393066,235.78189086914062,1.277999997138977,2.3074586391448975,0.47821351885795593,5.7809343338012695,1.6210249662399292,1.968976616859436,1.2799999713897705,1.190000057220459,6.369999885559082,20.28516387939453,0.8999999761581421,1.2119250297546387,0.30000001192092896,0.2800000011920929,1.0199999809265137,0.6499999761581421,3.1193878650665283,48.90415573120117,2.16032075881958,0.7919999957084656,0.5799999833106995,0.6828883290290833,13.332717895507812,2.0030300617218018,0.5979999899864197,0.550000011920929,14.838356018066406,1.6486139297485352,1.0950000286102295,,22.655065536499023,1.7100000381469727,,9.357765197753906,,,6.738718032836914,0.8899999856948853,2.358109712600708,4.481200218200684,5.597833156585693,14.29053020477295,3.7616662979125977,14.261295318603516,5.987417697906494,0.3919999897480011,1.3138587474822998,7.4543938636779785,3.275787353515625,2.3499999046325684,0.03776993602514267,0.40299999713897705,4.49337100982666,2.2986655235290527,1.138135552406311,6.697109699249268,1.9600000381469727,,8.557045936584473,0.20000000298023224,,1175.3974609375,14.957895278930664,11.613296508789062,1.1439296007156372,1.1114635467529297,,4.300000190734863,3.6882472038269043,1.5345903635025024,0.23000000417232513,0.2098030000925064,0.28999999165534973
2022-06-30,8.399999618530273,,1.6924116611480713,4.552936553955078,,,0.5,2.024285078048706,1.649999976158142,0.8172563910484314,5.711714267730713,1.743941307067871,4.269170761108398,0.38999998569488525,4.331488132476807,0.8471505045890808,0.6443465948104858,0.3889999985694885,10.953964233398438,1.5574164390563965,0.49000000953674316,0.2460000067949295,1.915872573852539,,1.5827819108963013,0.14000000059604645,2.572148561477661,0.24799999594688416,7.231607437133789,0.6460000276565552,3.240000009536743,,0.5699999928474426,0.6499999761581421,0.2980000078678131,19.0578670501709,0.43502700328826904,3.609164237976074,1.2551337480545044,1.5398951768875122,0.8709511756896973,4.579510688781738,1.9908536672592163,1.6959930658340454,2.736419677734375,0.7730486392974854,0.5481290221214294,,0.6800625324249268,2.918128728866577,4.098340034484863,6.846075057983398,,5.55906867980957,0.4805000126361847,2.7003166675567627,0.3840000033378601,,810.4199829101562,1.065675139427185,9.1058988571167,0.4020000100135803,14.660110473632812,1.3761448860168457,0.5180000066757202,0.5748111009597778,3.7158010005950928,0.5330489873886108,2.9315271377563477,0.8560000061988831,1.3016794919967651,238.34744262695312,1.0980000495910645,2.344978094100952,0.45908495783805847,4.936734199523926,1.6596208810806274,1.927384376525879,1.159999966621399,1.0800000429153442,5.635000228881836,20.28516387939453,0.8259999752044678,1.072301983833313,0.23600000143051147,0.2800000011920929,0.9900000095367432,0.7749999761581421,2.687183380126953,41.54689407348633,2.4507839679718018,0.7200000286102295,0.5199999809265137,0.611630380153656,14.538119316101074,1.7560138702392578,0.6299999952316284,0.5199999809265137,12.925593376159668,1.664314866065979,1.1799999475479126,,21.85547637939453,1.6349999904632568,,9.29039192199707,,,6.372400283813477,0.7860000133514404,2.3015148639678955,3.538301467895508,4.963682174682617,13.466075897216797,3.037261962890625,13.318689346313477,5.15093994140625,0.30000001192092896,1.2083663940429688,7.2525458335876465,3.1596672534942627,2.1500000953674316,0.043392427265644073,0.39100000262260437,3.944709062576294,1.8621540069580078,0.9469287395477295,6.179374694824219,1.9249999523162842,,6.982245445251465,0.20000000298023224,,1123.541748046875,14.131999969482422,10.431328773498535,0.9112651348114014,1.148206114768982,,3.4800000190734863,3.1986889839172363,1.7768940925598145,0.19349999725818634,0.23078331351280212,0.28999999165534973
2022-07-29,8.399999618530273,,1.6796318292617798,4.882859230041504,,,0.5649999976158142,1.8744959831237793,1.7079999446868896,0.8452019095420837,5.5264482498168945,1.7781362533569336,4.416746616363525,0.38999998569488525,4.403379917144775,0.8805174827575684,0.6943389773368835,0.49399998784065247,12.05174446105957,1.4982739686965942,0.5979999899864197,0.2939999997615814,1.9525401592254639,,1.6211782693862915,0.14980000257492065,2.832806348800659,0.27900001406669617,7.231607437133789,0.6439999938011169,3.119999885559082,15.0,0.6600000262260437,0.5950000286102295,0.3059999942779541,22.53013038635254,0.5403780341148376,4.226949214935303,1.331087350845337,1.4829226732254028,0.8080885410308838,4.668576717376709,2.0419013500213623,1.7247387170791626,2.9162964820861816,0.8204118609428406,0.6280645132064819,,0.6568124890327454,3.023824691772461,4.1266045570373535,7.5542893409729,,5.979567050933838,0.44484999775886536,2.8894805908203125,0.46000000834465027,,851.0499877929688,1.0927687883377075,9.348592758178711,0.5299999713897705,15.335752487182617,1.4179869890213013,0.5249999761581421,0.7185136675834656,3.774388313293457,0.6601979732513428,3.322977304458618,0.8199999928474426,1.5491341352462769,245.79579162597656,1.1039999723434448,2.382497787475586,0.4552592933177948,5.230368614196777,1.6692698001861572,1.927384376525879,1.190000057220459,1.0800000429153442,5.800000190734863,20.28516387939453,0.7599999904632568,1.0834720134735107,0.25999999046325684,0.2800000011920929,1.0199999809265137,0.7799999713897705,2.8469111919403076,43.10490036010742,2.2994494438171387,0.8970000147819519,0.5400000214576721,0.6096510291099548,14.35494613647461,1.8774404525756836,0.6100000143051147,0.5249999761581421,13.855426788330078,1.6486139297485352,1.1749999523162842,,21.588945388793945,1.774999976158142,,10.079062461853027,,,7.326353073120117,0.7960000038146973,2.367541790008545,3.684110403060913,4.999011039733887,14.015711784362793,3.34273362159729,13.9586820602417,5.640108108520508,0.30000001192092896,1.1604154109954834,7.6020660400390625,3.1792924404144287,2.130000114440918,0.03869599103927612,0.3889999985694885,4.074652194976807,2.1407439708709717,1.0652947425842285,6.479891300201416,1.8200000524520874,,8.045308113098145,0.14499999582767487,,957.3373413085938,14.223766326904297,10.50637435913086,0.8587220907211304,1.1668760776519775,,3.9600000381469727,3.3283655643463135,1.7474236488342285,0.20000000298023224,0.20012977719306946,0.28999999165534973
2022-08-31,8.399999618530273,,1.7075191736221313,4.623634338378906,,,0.44999998807907104,1.7461060285568237,1.8279999494552612,0.9030472636222839,5.395902156829834,1.803782343864441,5.850344181060791,0.4000000059604645,4.717907428741455,0.8452968001365662,0.7156320214271545,0.5139999985694885,11.32784652709961,1.4391316175460815,0.6150000095367432,0.2800000011920929,1.9617069959640503,,1.6425094604492188,0.14139999449253082,2.552476406097412,0.28700000047683716,6.960422039031982,0.6039999723434448,3.119999885559082,14.0600004196167,0.6240000128746033,0.5950000286102295,0.32499998807907104,22.00111961364746,0.5899918675422668,4.105018138885498,1.3253909349441528,1.5258369445800781,0.8871737718582153,5.11391019821167,2.062570571899414,1.6959930658340454,3.0846915245056152,0.853639543056488,0.6071290373802185,,0.807937502861023,3.0422065258026123,4.1266045570373535,7.3654327392578125,,5.786678314208984,0.39989998936653137,2.837460517883301,0.4480000138282776,,856.3599853515625,1.0476130247116089,9.377717018127441,0.5649999976158142,14.460465431213379,1.3819717168807983,0.5210000276565552,0.7022583484649658,3.755610466003418,0.6112949848175049,3.288181781768799,0.8379999995231628,1.481338381767273,251.382080078125,1.0099999904632568,2.291983127593994,0.45047712326049805,5.196740627288818,1.514886498451233,1.9640966653823853,1.1749999523162842,1.25,5.929999828338623,21.251123428344727,0.8199999928474426,0.6143400073051453,0.25,0.2800000011920929,1.0399999618530273,0.7799999713897705,3.044221878051758,42.239341735839844,2.131197214126587,0.8489999771118164,0.5099999904632568,0.6433005928993225,16.00279426574707,1.9988669157028198,0.7599999904632568,0.5149999856948853,14.380183219909668,1.6329126358032227,0.9919999837875366,,21.766632080078125,1.9299999475479126,,9.788751602172852,,,7.349247932434082,0.765999972820282,2.3203797340393066,3.411933422088623,4.857696056365967,14.432019233703613,3.7093000411987305,14.031383514404297,5.092239856719971,0.3540000021457672,1.1891859769821167,7.6020660400390625,3.0419156551361084,2.200000047683716,0.04299554228782654,0.40799999237060547,4.130342483520508,2.0820934772491455,1.1199253797531128,5.6628618240356445,1.9500000476837158,,7.698859691619873,0.17399999499320984,,1459.939453125,14.728479385375977,11.144261360168457,1.0159637928009033,1.1668760776519775,,3.619999885559082,3.304351329803467,1.7121223211288452,0.19949999451637268,0.20574088394641876,0.28999999165534973
2022-09-30,8.399999618530273,,1.5333598852157593,4.166455268859863,,,0.5149999856948853,1.4379700422286987,1.7940000295639038,0.787552535533905,4.743171691894531,1.7097464799880981,5.02264404296875,0.4000000059604645,4.403379917144775,0.7878314852714539,0.7184094190597534,0.5860000252723694,10.858503341674805,1.5179880857467651,0.5640000104904175,0.3179999887943268,2.039886951446533,,1.604113221168518,0.11919999867677689,2.527885913848877,0.27799999713897705,6.418051242828369,0.5580000281333923,3.0399999618530273,14.26200008392334,0.8059999942779541,0.4880000054836273,0.2939999997615814,19.932315826416016,0.6487560272216797,4.145661354064941,1.2722233533859253,1.6307382583618164,0.8080885410308838,4.646310329437256,2.005802631378174,2.0313587188720703,2.895246982574463,0.7857155203819275,0.5899999737739563,,0.6878125071525574,2.7894551753997803,3.479820489883423,7.023974418640137,,6.5582356452941895,0.4014500081539154,2.3645503520965576,0.3499999940395355,,792.9000244140625,1.1559866666793823,8.484601020812988,0.5,13.539591789245605,1.294382095336914,0.47049999237060547,0.7640307545661926,3.5866079330444336,0.5868430137634277,2.907956600189209,0.8600000143051147,1.4135597944259644,256.96832275390625,0.8980000019073486,2.463881731033325,0.4650000035762787,4.798450469970703,1.6028333902359009,2.0650548934936523,1.0,1.25,5.485000133514404,19.898778915405273,0.734000027179718,0.42817598581314087,0.2280000001192093,0.2800000011920929,0.9700000286102295,0.7400000095367432,2.9314727783203125,40.1619987487793,2.07511305809021,0.8550000190734863,0.47600001096725464,0.613609790802002,13.709399223327637,1.9148023128509521,0.7120000123977661,0.4699999988079071,12.879562377929688,1.585809588432312,0.9800000190734863,,21.322416305541992,1.7549999952316284,,9.141129493713379,,,7.501879692077637,0.7099999785423279,2.2732176780700684,3.3916468620300293,4.4160871505737305,14.243366241455078,3.1594505310058594,12.6137056350708,5.087347984313965,0.42399999499320984,1.0597182512283325,7.6020660400390625,2.6494104862213135,1.9700000286102295,0.04233407974243164,0.3799999952316284,3.879737377166748,1.920804500579834,1.078952431678772,5.719208240509033,1.9900000095367432,,6.813490867614746,0.17499999701976776,,1225.923583984375,14.407299041748047,10.168669700622559,1.0052999258041382,1.0641909837722778,,3.200000047683716,3.2515201568603516,1.9239311218261719,0.1979999989271164,0.1926482766866684,0.28999999165534973
2022-10-31,8.399999618530273,,1.58636474609375,4.713184833526611,,,0.49799999594688416,1.1657819747924805,2.005000114440918,0.9234769344329834,4.612626075744629,1.6969232559204102,4.977799415588379,0.42800000309944153,4.061893463134766,0.8693951964378357,0.6887842416763306,0.5580000281333923,11.44717025756836,1.7052724361419678,0.6230000257492065,0.3160000145435333,2.039886951446533,,1.5955806970596313,0.1151999980211258,2.803297519683838,0.27399998903274536,6.418051242828369,0.6100000143051147,3.0199999809265137,14.350000381469727,0.9100000262260437,0.6399999856948853,0.29499998688697815,20.77306365966797,0.7004684209823608,4.145661354064941,1.359570026397705,1.6927253007888794,0.8800764083862305,5.128754615783691,2.2707200050354004,1.99303138256073,3.5114200115203857,0.9178919792175293,0.5861935615539551,,0.6781249642372131,2.876769542694092,3.350938320159912,7.053362846374512,,6.172456741333008,0.38749998807907104,2.5064237117767334,0.3619999885559082,,874.27001953125,1.128893256187439,9.348592758178711,0.5,14.496935844421387,1.333310842514038,0.4934999942779541,0.7737842798233032,3.642942190170288,0.5917329788208008,3.005479574203491,1.0950000286102295,1.4773979187011719,253.24415588378906,0.9959999918937683,2.1773838996887207,0.47999998927116394,5.101909637451172,1.406166672706604,2.101767063140869,1.0,1.25,6.130000114440918,20.28516387939453,0.7739999890327454,0.47471699118614197,0.23999999463558197,0.25200000405311584,0.9800000190734863,0.7049999833106995,2.87509822845459,40.1619987487793,2.505091428756714,0.8550000190734863,0.4339999854564667,0.6334036588668823,14.76266098022461,2.0735909938812256,0.7400000095367432,0.47200000286102295,15.632235527038574,1.8370269536972046,1.0,,20.78935432434082,1.7899999618530273,,9.453055381774902,,,8.623727798461914,0.8600000143051147,2.244920492172241,3.4702939987182617,4.787038803100586,14.337692260742188,3.2903671264648438,14.594820022583008,6.25156831741333,0.5,1.0213574171066284,7.6020660400390625,2.904538869857788,2.0999999046325684,0.03730690851807594,0.3930000066757202,3.7405126094818115,1.920804500579834,1.174555778503418,5.963378429412842,1.9850000143051147,,6.274570941925049,0.17000000178813934,,1308.3609619140625,14.820246696472168,10.60018253326416,1.226592779159546,0.980175793170929,,3.240000009536743,3.650155782699585,1.9415818452835083,0.19850000739097595,0.19638901948928833,0.23199999332427979
2022-11-30,8.399999618530273,,1.6374768018722534,4.66605281829834,,,0.4399999976158142,1.2000199556350708,2.0350000858306885,0.9958389401435852,4.78668737411499,1.8294289112091064,4.738625526428223,0.38600000739097595,3.9540555477142334,0.9321081042289734,0.7128546833992004,0.5139999985694885,12.083565711975098,1.6461299657821655,0.6480000019073486,0.2980000078678131,2.1161444187164307,,1.6211782693862915,0.08980000019073486,3.1573984622955322,0.2770000100135803,6.418051242828369,0.6600000262260437,2.940000057220459,13.550000190734863,0.8539999723434448,0.5899999737739563,0.3019999861717224,22.02945899963379,0.6487560272216797,4.308236598968506,1.5228703022003174,1.697493553161621,0.8922433257102966,5.569937705993652,2.1761066913604736,1.9642857313156128,3.702777862548828,1.000502347946167,0.5861935615539551,,0.7071875333786011,2.849196434020996,3.5591325759887695,6.906418323516846,,6.510013103485107,0.3487499952316284,2.8090858459472656,0.30399999022483826,0.17461736500263214,912.3300170898438,1.0972843170166016,9.270931243896484,0.46799999475479126,13.448415756225586,1.333310842514038,0.5149999856948853,0.8193013072013855,3.5866079330444336,0.5183780193328857,3.191659450531006,1.0449999570846558,1.4701021909713745,253.24415588378906,0.9449999928474426,2.3301830291748047,0.48100000619888306,5.670895576477051,1.475000023841858,1.8723163604736328,1.024999976158142,1.25,5.75,20.091970443725586,0.699999988079071,0.3479999899864197,0.2199999988079071,0.25200000405311584,0.9980000257492065,0.625,2.893889904022217,36.872867584228516,2.3742282390594482,1.0169999599456787,0.4740000069141388,0.6630944609642029,16.73167610168457,2.017547845840454,0.7599999904632568,0.49399998784065247,16.516036987304688,1.7742226123809814,1.0750000476837158,,20.967041015625,1.7350000143051147,,10.085801124572754,,,8.700043678283691,0.8560000061988831,2.1883254051208496,3.6669111251831055,4.946017742156982,15.752596855163574,3.4692862033843994,14.703872680664062,6.447235584259033,0.5049999952316284,1.0021768808364868,7.6020660400390625,2.865288496017456,1.9950000047683716,0.02599576860666275,0.4440000057220459,4.445919513702393,2.0527682304382324,1.1791083812713623,6.085463047027588,2.009999990463257,,6.159087657928467,0.1550000011920929,0.07759265601634979,1231.2421875,14.682597160339355,11.669580459594727,1.3759855031967163,0.980175793170929,,3.2799999713897705,4.082411289215088,1.765074372291565,0.20000000298023224,0.20574088394641876,0.14900000393390656
2022-12-30,8.399999618530273,,1.6090812683105469,4.986549377441406,,,0.5899999737739563,1.4600000381469727,1.9700000286102295,0.984516978263855,5.477318286895752,1.8208801746368408,4.93295431137085,0.3659999966621399,3.91810941696167,2.2572972774505615,0.703596830368042,0.5419999957084656,13.040141105651855,1.5475592613220215,0.6819999814033508,0.29600000381469727,2.1638052463531494,,1.6595746278762817,0.08879999816417694,2.9705119132995605,0.289000004529953,6.779631614685059,0.5920000076293945,3.0,14.899999618530273,0.8100000023841858,0.5950000286102295,0.31299999356269836,21.34930419921875,0.7239740490913391,4.101441383361816,1.5380611419677734,1.754712462425232,0.8871737718582153,5.979607582092285,2.1287999153137207,2.1655051708221436,3.585092782974243,0.9683759212493896,0.6128386855125427,,0.6897500157356262,2.849196434020996,3.2716259956359863,6.661509990692139,,7.619126319885254,0.33945000171661377,3.073915719985962,0.34200000762939453,0.1738409847021103,929.7899780273438,1.088253140449524,10.581480979919434,0.5450000166893005,13.302534103393555,1.3819717168807983,0.4869999885559082,0.7867887616157532,3.6053860187530518,0.5575010180473328,3.2928614616394043,1.0499999523162842,1.6506729125976562,270.0029602050781,0.949999988079071,2.4256820678710938,0.49000000953674316,5.879523754119873,1.5733333826065063,2.3587515354156494,1.0049999952316284,1.25,5.849999904632568,21.251123428344727,0.6980000138282776,0.3840000033378601,0.2199999988079071,0.2680000066757202,0.9959999918937683,0.6299999952316284,3.476426362991333,39.98888397216797,2.449007034301758,1.5870000123977661,0.49000000953674316,0.6452800035476685,18.965463638305664,1.9521644115447998,0.7059999704360962,0.5099999904632568,18.68871307373047,1.8916068077087402,1.065000057220459,,20.167451858520508,1.784999966621399,,10.085801124572754,,,8.677223205566406,0.8600000143051147,2.236058235168457,3.411308765411377,5.299304485321045,15.18663501739502,3.4561946392059326,14.358540534973145,6.412993907928467,0.550000011920929,1.040537714958191,7.69941520690918,2.801506280899048,1.8899999856948853,0.025797327980399132,0.5099999904632568,4.371665954589844,1.9941177368164062,1.1654508113861084,6.09485387802124,1.8550000190734863,,5.196730613708496,0.15000000596046448,0.07406274974346161,912.1296997070312,15.370843887329102,11.313115119934082,1.4133336544036865,0.91483074426651,,3.0399999618530273,3.847072124481201,1.8180265426635742,0.20200000703334808,0.18236123025417328,0.25999999046325684
