Date,ABC-A.CR,ARC-B.CR,BNC.CR,BVL.CR,C2401A.CR,C2451A.CR,C2452A.CR,C2453A.CR,C2454A.CR,C2455A.CR,C2456A.CR,C2457A.CR,C2458A.CR,C2459A.CR,CCR.CR,CRM-A.CR,DOM.CR,EFE.CR,ENV.CR,FNC.CR,FO422.CR,GMC-B.CR,IBC.CR,IVC-A.CR,IVC-B.CR,MPA.CR,MVZ-A.CR,MVZ-B.CR,PI413.CR,PIV-B.CR,PTN.CR,RST-B.CR,RST.CR,SD251P.CR,SD252P.CR,SVS.CR,TDV-D.CR
2022-05-31,,,,,,,,,,,,,,,55.0,,,0.2199999988079071,,0.949999988079071,,,,,,0.628000020980835,,,,,0.5699999928474426,,,,,0.6370000243186951,
2022-06-30,,,,,,,,,,,,,,,89.0,,,0.2150000035762787,,1.0,,,,,,0.6200000047683716,,,,,0.699999988079071,,,,,0.6549999713897705,
2022-07-29,,,,,,,,,,,,,,,100.0,,,0.1959999948740005,,0.800000011920929,,,,,,0.6200000047683716,,,,,0.6890000104904175,,,,,0.6650000214576721,
2022-08-31,,,,,,,,,,,,,,,93.98999786376952,,,0.1700000017881393,,0.8999999761581421,,,,,,0.699999988079071,,,,,1.0499999523162842,,,,,0.800000011920929,
2022-09-30,,,,,,,,,,,,,,,70.0,,,0.1599999964237213,,0.8999999761581421,,,,,,0.675000011920929,,,,,0.675000011920929,,,,,0.699999988079071,
2022-10-28,,,,,,,,,,,,,,,32.0,,,0.1899999976158142,,1.0399999618530271,,,,,,0.6740000247955322,,,,,0.800000011920929,,,,,0.699999988079071,
2022-11-30,,,,,,,,,,,,,,,37.5,,,0.2599999904632568,,1.6200000047683716,,,,,,0.7990000247955322,,,,,0.9980000257492064,,,,,0.8379999995231628,
2022-12-30,,,,,,,,,,,,,,,53.900001525878906,,,0.5839999914169312,,4.5,,,,,,0.8989999890327454,,,,,2.220000028610229,,,,,0.9179999828338624,
2023-01-31,,,,,,,,,,,,,,,53.0,,,0.6499999761581421,,6.0,,,,,,1.059999942779541,,,,,2.130000114440918,,,,,1.1399999856948853,
2023-02-28,,,,,,,,,,,,,,,53.0,,,0.8389999866485596,,7.300000190734863,,,,,,1.2599999904632568,,,,,2.049999952316284,,,,,1.899999976158142,
2023-03-31,,,,,,,,,,,,,,,43.0,,,0.9800000190734864,,10.329999923706056,,,,,,1.2000000476837158,,,,,1.899999976158142,,,,,1.850000023841858,
2023-04-28,,,,,,,,,,,,,,,45.0,,,1.0700000524520874,,10.0,,,,,,1.3200000524520874,,,,,2.0,,,,,2.359999895095825,
2023-05-31,,,,,,,,,,,,,,,150.0,,,1.2999999523162842,,11.0,,,,,,1.3899999856948853,,,,,2.299999952316284,,,,,2.930000066757202,
2023-06-30,,,,,,,,,,,,,,,200.0,,,1.4500000476837158,,11.0,,,,,,1.4199999570846558,,,,,2.450000047683716,,,,,3.759999990463257,
2023-07-31,,,,,,,,,,,,,,,199.5,,,1.3799999952316284,,14.0,,,,,,1.399999976158142,,,,,2.289999961853028,,,,,2.650000095367432,
2023-08-31,,,,,,,,,,,,,,,200.0,,,1.2000000476837158,,14.989999771118164,,,,,,1.5099999904632568,,,,,4.989999771118164,,,,,2.809999942779541,
2023-09-29,,,,,,,,,,,,,,,200.0,,,1.2000000476837158,,14.949999809265137,,,,,,1.7000000476837158,,,,,4.489999771118164,,,,,2.75,
2023-10-31,,,,,,,,,,,,,,,230.0,,,1.4700000286102295,,14.0,,,,,,2.5,,,,,3.890000104904175,,,,,4.0,
2023-11-30,,,,,,,,,,,,,,,329.0,,,2.700000047683716,,14.300000190734863,,,,,,2.700000047683716,,,,,4.400000095367432,,,,,3.7899999618530273,
2023-12-29,,,,,,,,,,,,,,,560.0,,,4.900000095367432,,14.0,,,,,,2.799999952316284,,,,,3.900000095367432,,,,,3.990000009536743,
2024-01-31,,,,,,,,,,,,,,,630.0,,,8.880000114440918,,14.199999809265137,,,,,,2.640000104904175,,,,,3.5799999237060547,,,,,5.949999809265137,
2024-02-29,,,,,,,,,,,,,,,615.0,,,8.380000114440918,,12.0,,,,,,2.569999933242798,,,,,3.390000104904175,,,,,5.789999961853027,
2024-03-27,,,,,,,,,,,,,,,730.0,,,8.899999618530273,,10.0,,,,,,2.299999952316284,,,,,3.490000009536743,,,,,5.440000057220459,
2024-04-30,,,,,,,,,,,,,,,740.0,,,7.0,,10.0,,,,,,2.3499999046325684,,,,,4.550000190734863,,,,,5.590000152587891,
2024-05-31,,,,,,,,,,,,,,,767.989990234375,,,6.400000095367432,,10.0,,,,,,2.400000095367432,,,,,4.590000152587891,,,,,5.690000057220459,
2024-06-28,,,,,,,,,,,,,,,715.0,,,5.880000114440918,,10.0,,,,,,3.25,,,,,5.550000190734863,,,,,5.199999809265137,
2024-07-31,,,,,,,,,,,,,,,800.0,,,6.900000095367432,,10.0,,,,,,4.630000114440918,,,,,11.5,,,,,10.0,
2024-08-30,,,,,,,,,,,,,,,600.0,,,7.5,,9.989999771118164,,,,,,4.28000020980835,,,,,11.579999923706056,,,,,9.0,
2024-09-30,,,,,,,,,,,,,,,550.0,,,7.300000190734863,,9.739999771118164,,,,,,3.9800000190734863,,,,,9.149999618530272,,,,,8.800000190734863,
2024-10-31,,,,,,,,,,,,,,,550.0,,,7.25,,9.100000381469728,,,,,,3.75,,,,,8.300000190734863,,,,,8.550000190734863,
2024-11-29,,,,,,,,,,,,,,,493.0,,,7.0,,9.1899995803833,,,,,,3.880000114440918,,,,,8.0,,,,,9.1899995803833,
2024-12-30,,,,,,,,,,,,,,,700.0,,,6.940000057220459,,14.979999542236328,,,,,,4.5,,,,,8.5,,,,,9.920000076293944,
2025-01-31,,,,,,,,,,,,,,,780.0,,,7.300000190734863,,14.489999771118164,,,,,,5.0,,,,,8.899999618530273,,,,,10.75,
2025-02-28,,,,,,,,,,,,,,,555.0,,,7.329999923706055,,19.0,,,,,,7.25,,,,,9.899999618530272,,,,,9.989999771118164,
2025-03-31,,,,,,,,,,,,,,,470.0,,,7.0,,22.0,,,,,,7.090000152587891,,,,,10.149999618530272,,,,,12.399999618530272,
2025-04-30,,,,,,,,,,,,,,,431.0,,,6.829999923706055,,17.0,100.0,,,85.9000015258789,42.70000076293945,6.079999923706055,,,,,14.0,,,,,13.75,
